gpstime,lat,lon,alt,stdlat,stdlon,stdalt,roll,pitch,head,mntroll,mntpitch,mntyaw,quality,HDOP,numSV,sep
204022.4,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.5302,-0.8736,19.03219,0.71,3.95,359.48,4,0.65,12,17.1
204022.5,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53271,-0.86943,19.03171,0.71,3.95,359.48,4,0.65,12,17.1
204022.7,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.5301,-0.88423,19.02928,0.71,3.95,359.48,4,0.65,12,17.1
204022.8,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52554,-0.89042,19.02849,0.71,3.95,359.48,4,0.65,12,17.1
204023.0,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.5248,-0.91853,19.02685,0.71,3.95,359.48,4,0.65,12,17.1
204023.2,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52143,-0.9031,19.02824,0.71,3.95,359.48,4,0.65,12,17.1
204023.3,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53103,-0.87507,19.03206,0.71,3.95,359.48,4,0.65,12,17.1
204023.5,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53369,-0.87838,19.03263,0.71,3.95,359.48,4,0.65,12,17.1
204023.6,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53422,-0.88183,19.03372,0.71,3.95,359.48,4,0.65,12,17.1
204023.8,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52443,-0.8889,19.03509,0.71,3.95,359.48,4,0.65,12,17.1
204024.0,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52656,-0.89931,19.03434,0.71,3.95,359.48,4,0.65,12,17.1
204024.1,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52398,-0.89662,19.03519,0.71,3.95,359.48,4,0.65,12,17.1
204024.3,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52343,-0.88976,19.03502,0.71,3.95,359.48,4,0.65,12,17.1
204024.4,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52549,-0.88087,19.03704,0.71,3.95,359.48,4,0.65,12,17.1
204024.6,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53115,-0.89141,19.03752,0.71,3.95,359.48,4,0.65,12,17.1
